epoch,train_loss,val_loss
0,114.90358385832414,44.134944915771484
1,25.32361013992973,32.663062731424965
2,19.717194598654043,23.948575337727863
3,15.8045508550561,22.47113609313965
4,12.897494399029275,28.401968320210774
5,9.868279063183328,25.588966687520344
6,8.970224608545719,34.30152956644694
7,5.966749751049539,23.13522942860921
8,4.829026994497879,23.64037036895752
9,3.0554923855740093,25.75391149520874
10,14.880250516145125,26.057039578755695
11,9.123438171718432,10.863128344217936
12,4.757838829703953,7.527539054552714
13,3.4217488869376806,7.518589576085408
14,2.875893131546352,8.533932288487753
15,1.895705399305924,7.501768430074056
16,1.6789907268855884,9.937387307484945
17,1.3091832036557405,8.327304681142172
18,0.7421763772549836,7.842743396759033
19,0.443687977998153,7.995537002881368
20,3.962714837945026,6.17112123966217
21,1.9549321247183757,2.59676194190979
22,0.828471619149913,2.2000853617986045
23,0.9913866675418356,2.016424298286438
24,0.6107704328454059,1.6637600262959797
25,0.33786965453106427,3.457321206728617
26,0.265609419864157,1.7663124402364094
27,0.1774009207020635,1.716391126314799
28,0.18839538615682852,1.7179181575775146
29,0.1763118660968283,1.962629755338033
30,1.6151279677515444,0.38271045684814453
31,1.6575842421987783,1.3904176751772563
32,1.5529377356819485,0.48424023389816284
33,0.5525068562963734,0.23368847370147705
34,0.25157067050104553,0.20469983418782553
35,0.716034920319267,0.27672799428304035
36,0.3827768201413362,0.2869616349538167
37,0.41564887502919073,0.2708192666371663
38,0.236845876859582,0.2624833583831787
39,0.23703652361164923,0.23128036657969156
40,0.4147848253664763,0.10919745763142903
41,0.32937663016111957,0.12027291456858318
42,0.22630461402561353,0.12794049580891928
43,0.15923046029132346,0.12730562686920166
44,0.1583364320837933,0.10826198259989421
45,0.34569750661435333,0.13770246505737305
46,0.19937288242837656,0.15772032737731934
47,0.12927826591159985,0.17901996771494547
48,0.23368073028066885,0.14025843143463135
49,0.18425188893857208,0.12676902612050375
